code,location,registered,envelopes,valid,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,OB»AN… 2011-SPRAVEDL. PRO LIDI,Referendum o EvropskÈ unii,TOP 09,ANO 2011,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
554057,Nov˝ KramolÌn,179,97,97,2,0,0,16,0,4,13,1,1,0,0,0,10,0,0,0,30,4,1,0,2,0,2,11,0
554073,OsvraËÌn,487,280,278,13,0,0,28,0,8,21,2,5,6,0,1,20,0,0,11,115,0,5,0,4,1,1,35,2
566209,Otov,88,35,34,0,0,0,4,0,1,4,0,1,1,0,0,0,0,0,0,18,0,1,1,0,0,0,3,0
599182,Pa¯ezov,128,83,82,5,1,0,5,0,7,8,3,5,3,0,0,13,0,0,3,21,0,7,0,0,0,0,1,0
554081,PaseËnice,181,118,118,7,1,0,14,1,3,10,1,1,0,0,0,15,0,0,4,27,0,16,0,3,1,1,11,2
554090,Pec,193,132,131,35,0,0,15,0,5,11,0,0,1,0,0,7,0,0,2,29,0,4,0,2,1,0,19,0
566373,Pelechy,69,49,49,2,0,0,7,0,0,2,0,0,0,0,0,11,0,0,8,11,0,2,0,1,0,0,5,0
554111,PobÏûovice,1 265,630,627,79,0,0,38,1,29,79,12,13,7,1,1,38,0,0,15,224,5,11,0,5,1,0,65,3
554120,Pocinovice,473,323,320,38,0,0,37,0,26,20,2,2,2,0,1,22,0,0,11,107,0,15,0,1,1,2,33,0
566365,PodÏvousy,213,123,123,12,0,0,20,0,0,16,0,7,1,0,2,8,0,0,1,37,0,5,0,0,0,0,14,0
554138,Post¯ekov,934,576,571,62,1,1,44,3,27,50,2,8,1,0,1,53,0,1,13,155,1,78,0,7,0,0,61,2
554154,Puclice,268,152,152,7,0,0,22,0,13,12,1,2,0,0,0,9,0,0,5,66,0,2,0,0,0,0,7,6
554189,RybnÌk,145,60,58,11,0,0,6,0,2,6,1,1,0,0,0,6,0,0,0,13,0,1,0,1,0,0,10,0
554201,SemnÏvice,143,51,51,6,0,0,2,0,1,10,2,1,0,0,0,6,0,0,0,16,0,0,0,0,0,0,7,0
554251,Sp·Úov,150,120,119,9,0,0,16,0,5,13,0,0,1,1,0,9,0,0,4,31,0,13,0,0,0,0,17,0
554260,Srbice,328,243,242,14,0,0,21,1,12,28,1,4,2,1,0,15,0,0,6,80,0,4,0,2,0,2,49,0
554278,Srby,351,188,186,12,0,2,14,1,6,27,2,1,1,0,0,2,0,0,4,84,2,1,0,0,1,0,26,0
554294,StaÚkov,2 627,1 587,1 570,151,1,1,172,2,133,117,8,14,10,1,4,148,0,1,38,506,4,36,0,9,3,2,206,3
554316,Str·û,198,141,139,9,0,0,16,0,4,9,2,0,2,0,0,8,0,0,8,40,1,25,0,1,1,0,13,0
566101,ätichov,68,41,40,2,0,0,5,0,5,6,0,1,0,0,0,5,0,0,1,6,0,3,0,0,0,0,6,0
554341,TlumaËov,350,244,241,16,0,0,61,0,9,18,1,0,2,0,0,12,0,0,10,57,0,32,0,1,2,0,20,0
554359,Trhanov,428,252,251,25,0,0,30,0,12,39,2,2,0,0,0,21,0,1,4,81,0,8,1,1,3,0,20,1
566161,⁄boË,92,52,51,9,0,0,6,0,4,3,0,0,2,0,0,5,0,0,1,15,0,1,0,0,0,0,5,0
554383,⁄jezd,323,195,195,7,2,0,20,1,10,16,0,4,0,0,3,17,0,0,11,63,3,23,0,2,0,0,12,1
554391,⁄nÏjovice,88,60,60,4,0,0,6,0,2,5,1,0,1,0,1,3,0,0,1,26,1,2,0,3,0,0,4,0
554405,⁄silov,115,51,51,3,0,0,4,0,7,4,0,1,1,0,0,6,0,0,1,15,0,1,0,0,0,0,8,0
554413,Velk˝ Malahov,201,95,94,4,0,0,2,0,9,11,1,0,0,1,0,4,0,0,2,43,0,1,0,0,0,0,16,0
554421,Vidice,130,71,71,5,0,0,4,0,1,14,0,0,0,0,0,2,0,0,2,35,0,0,0,0,0,0,8,0
566250,Vlkanov,97,57,57,10,0,0,3,0,8,7,0,0,0,0,0,2,0,1,1,18,0,3,0,0,1,0,3,0
566071,Vöekary,80,61,61,10,0,0,2,0,6,2,1,2,0,0,2,4,1,0,3,11,0,7,0,0,0,0,10,0
554448,Vöepadly,39,30,30,4,0,0,6,0,2,4,0,0,0,0,0,2,0,0,0,10,0,1,0,0,0,0,1,0
554456,Vöeruby,638,283,281,23,1,0,19,1,24,37,6,5,1,0,1,14,0,0,7,103,0,7,0,0,1,1,30,0
554464,Zaho¯any,791,501,499,53,2,0,33,0,29,29,4,6,11,1,2,46,0,0,13,177,1,47,0,3,0,0,40,2
554472,éd·nov,122,79,77,7,0,0,23,0,3,7,0,1,0,0,0,5,0,0,2,19,0,7,0,1,0,0,2,0
